trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",30,16,9.215021817526843,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",20,8,-23.155903181059198,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",25,14,16.990029196724414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",20,0,14.350801491104516,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",30,17,-2.4252989470476516,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",20,10,3.8389512780669905,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",25,12,24.425549266967963,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",20,10,12.37856611923677,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",25,13,2.308374455718317,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,8,8.771854903540076,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",25,13,23.241253239235974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",20,14,14.889488776319103,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",20,0,31.463656449173083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",20,13,11.872624149212102,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
